"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"3D-OAE: Occlusion Auto-Encoders for Self-Supervised Learning on Point Clouds","J. Zhou; X. Wen; B. Ma; Y. -S. Liu; Y. Gao; Y. Fang; Z. Han","School of Software, BNRist, Tsinghua University, Beijing, China; NVIDIA; School of Software, Tsinghua University and Beijing Academy of Artificial Intelligence, Beijing, China; School of Software, BNRist, Tsinghua University, Beijing, China; School of Software, BNRist, Tsinghua University, Beijing, China; New York University; Department of Computer Science, Wayne State University, USA",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","15416","15423","The manual annotation for large-scale point clouds is still tedious and unavailable for many harsh real-world tasks. Self-supervised learning, which is used on raw and unlabeled data to pre-train deep neural networks, is a promising approach to address this issue. Existing works usually take the common aid from auto-encoders to establish the self-supervision by the self-reconstruction schema. However, the previous auto-encoders merely focus on the global shapes and do not distinguish the local and global geometric features apart. To address this problem, we present a novel and efficient self-supervised point cloud representation learning framework, named 3D Occlusion Auto-Encoder (3D-OAE), to facilitate the detailed supervision inherited in local regions and global shapes. We propose to randomly occlude some local patches of point clouds and establish the supervision via inpainting the occluded patches using the remaining ones. Specifically, we design an asymmetrical encoder-decoder architecture based on standard Transformer, where the encoder operates only on the visible subset of patches to learn local patterns, and a lightweight decoder is designed to leverage these visible patterns to infer the missing geometries via self-attention. We find that occluding a very high proportion of the input point cloud (e.g. 75%) will still yield a nontrivial self-supervisory performance, which enables us to achieve 3-4 times faster during training but also improve accuracy. Experimental results show that our approach outperforms the state-of-the-art on a diverse range of down-stream discriminative and generative tasks. Code is available at https://github.com/junshengzhou/3D-OAE.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10610588","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10610588","","Point cloud compression;Training;Representation learning;Three-dimensional displays;Shape;Self-supervised learning;Transformers","","4","","54","IEEE","8 Aug 2024","","","IEEE","IEEE Conferences"
"6-DoF Grasp Pose Evaluation and Optimization via Transfer Learning from NeRFs","G. Sóti; X. Huang; C. Wurll; B. Hein","Institute of Robotics and Autonomous Systems, Karlsruhe University of Applied Sciences, Karlsruhe, Germany; Institute for Anthropomatics and Robotics, Karlsruhe Institute of Technology, Karlsruhe, Germany; Institute of Robotics and Autonomous Systems, Karlsruhe University of Applied Sciences, Karlsruhe, Germany; Institute of Robotics and Autonomous Systems, Karlsruhe University of Applied Sciences, Karlsruhe, Germany",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","9495","9501","We address the problem of robotic grasping of known and unknown objects using implicit behavior cloning. We train a grasp evaluation model from a small number of demonstrations that outputs higher values for grasp candidates that are more likely to succeed in grasping. This evaluation model serves as an objective function, that we maximize to identify successful grasps. Key to our approach is the utilization of learned implicit representations of visual and geometric features derived from a pre-trained NeRF. Though trained exclusively in a simulated environment with simplified objects and 4-DoF topdown grasps, our evaluation model and optimization procedure demonstrate generalization to 6-DoF grasps and novel objects both in simulation and in real-world settings, without the need for additional data. Supplementary material is available at: https://gergely-soti.github.io/grasp","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10610402","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10610402","","Training;Visualization;Evaluation models;Transfer learning;Grasping;Neural radiance field;6-DOF","","","","31","IEEE","8 Aug 2024","","","IEEE","IEEE Conferences"
"An Onboard Framework for Staircases Modeling Based on Point Clouds","C. Qing; R. Zeng; X. Wu; Y. Shi; G. Ma","Sino-German College of Intelligent Manufacturing, Shenzhen Technology University, China; Sino-German College of Intelligent Manufacturing, Shenzhen Technology University, China; Sino-German College of Intelligent Manufacturing, Shenzhen Technology University, China; Institute for AI Industry Research (AIR), Tsinghua University, China; Sino-German College of Intelligent Manufacturing, Shenzhen Technology University, China",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","1759","1765","The detection of traversable regions on staircases and the physical modeling constitutes pivotal aspects of the mobility of legged robots. This paper presents an onboard framework tailored to the detection of traversable regions and the modeling of physical attributes of staircases by point cloud data. To mitigate the influence of illumination variations and the overfitting due to the dataset diversity, a series of data augmentations are introduced to enhance the training of the fundamental network. A curvature suppression cross-entropy(CSCE) loss is proposed to reduce the ambiguity of prediction on the boundary between traversable and non-traversable regions. Moreover, a measurement correction based on the pose estimation of stairs is introduced to calibrate the output of raw modeling that is influenced by tilted perspectives. Lastly, we collect a dataset pertaining to staircases and introduce new evaluation criteria. Through a series of rigorous experiments conducted on this dataset, we substantiate the superior accuracy and generalization capabilities of our proposed method. Codes, models, and datasets will be available at https://github.com/szturobotics/Stair-detection-and-modeling-project.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10610407","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10610407","","Training;Point cloud compression;Legged locomotion;Pose estimation;Lighting;Stairs;Data augmentation","","","","25","IEEE","8 Aug 2024","","","IEEE","IEEE Conferences"
"Multi-objective Cross-task Learning via Goal-conditioned GPT-based Decision Transformers for Surgical Robot Task Automation","J. Fu; Y. Long; K. Chen; W. Wei; Q. Dou","Department of Computer Science and Engineering, The Chinese University of Hong Kong; Department of Computer Science and Engineering, The Chinese University of Hong Kong; Department of Computer Science and Engineering, The Chinese University of Hong Kong; Department of Computer Science and Engineering, The Chinese University of Hong Kong; Department of Computer Science and Engineering, The Chinese University of Hong Kong",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","13362","13368","Surgical robot task automation has been a promising research topic for improving surgical efficiency and quality. Learning-based methods have been recognized as an interesting paradigm and been increasingly investigated. However, existing approaches encounter difficulties in long-horizon goal-conditioned tasks due to the intricate compositional structure, which requires decision-making for a sequence of sub-steps and understanding of inherent dynamics of goal-reaching tasks. In this paper, we propose a new learning-based framework by leveraging the strong reasoning capability of the GPT-based architecture to automate surgical robotic tasks. The key to our approach is developing a goal-conditioned decision transformer to achieve sequential representations with goal-aware future indicators in order to enhance temporal reasoning. Moreover, considering to exploit a general understanding of dynamics inherent in manipulations, thus making the model’s reasoning ability to be task-agnostic, we also design a cross-task pretraining paradigm that uses multiple training objectives associated with data from diverse tasks. We have conducted extensive experiments on 10 tasks using the surgical robot learning simulator SurRoL [1]. The results show that our new approach achieves promising performance and task versatility compared to existing methods. The learned trajectories can be deployed on the da Vinci Research Kit (dVRK) for validating its practicality in real surgical robot settings. Our project website is at: https://med-air.github.io/SurRoL.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10611051","Innovation and Technology Fund; National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10611051","","Training;Learning systems;Medical robotics;Automation;Decision making;Transformers;Cognition","","","","39","IEEE","8 Aug 2024","","","IEEE","IEEE Conferences"
"GrainGrasp: Dexterous Grasp Generation with Fine-grained Contact Guidance","F. Zhao; D. Tsetserukou; Q. Liu","Department of Computer Science and Technology, Dalian University of Technology, China; Skolkovo Institute of Science and Technology, Moscow, Russia; Department of Computer Science and Technology, Dalian University of Technology, China",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","6470","6476","One goal of dexterous robotic grasping is to allow robots to handle objects with the same level of flexibility and adaptability as humans. However, it remains a challenging task to generate an optimal grasping strategy for dexterous hands, especially when it comes to delicate manipulation and accurate adjustment the desired grasping poses for objects of varying shapes and sizes. In this paper, we propose a novel dexterous grasp generation scheme called GrainGrasp that provides fine-grained contact guidance for each fingertip. In particular, we employ a generative model to predict separate contact maps for each fingertip on the object point cloud, effectively capturing the specifics of finger-object interactions. In addition, we develop a new dexterous grasping optimization algorithm that solely relies on the point cloud as input, eliminating the necessity for complete mesh information of the object. By leveraging the contact maps of different fingertips, the proposed optimization algorithm can generate precise and determinable strategies for human-like object grasping. Experimental results confirm the efficiency of the proposed scheme. Our code is available at https://github.com/wmtlab/GrainGrasp.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10610035","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10610035","","Point cloud compression;Codes;Accuracy;Shape;Optimization methods;Grasping;Predictive models","","1","","39","IEEE","8 Aug 2024","","","IEEE","IEEE Conferences"
"ReorientDiff: Diffusion Model based Reorientation for Object Manipulation","U. A. Mishra; Y. Chen","Institute for Robotics and Intelligent Machines (IRIM), Georgia Institute of Technology; Institute for Robotics and Intelligent Machines (IRIM), Georgia Institute of Technology",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","10867","10873","The ability to manipulate objects in desired configurations is a fundamental requirement for robots to complete various practical applications. While certain goals can be achieved by picking and placing the objects of interest directly, object reorientation is needed for precise placement in most of the tasks. In such scenarios, the object must be reoriented and re-positioned into intermediate poses that facilitate accurate placement at the target pose. To this end, we propose a reorientation planning method, ReorientDiff, that utilizes a diffusion model-based approach. The proposed method employs both visual inputs from the scene, and goal-specific language prompts to plan intermediate reorientation poses. Specifically, the scene and language-task information are mapped into a joint scene-task representation feature space, which is subsequently leveraged to condition the diffusion model. The diffusion model samples intermediate poses based on the representation using classifier-free guidance and then uses gradients of learned feasibility-score models for implicit iterative pose-refinement. The proposed method is evaluated using a set of YCB-objects and a suction gripper, demonstrating a success rate of 95.2% in simulation. Overall, we present a promising approach to address the reorientation challenge in manipulation by learning a conditional distribution, which is an effective way to move towards generalizable object manipulation. More results can be found on our website: https://utkarshmishra04.github.io/ReorientDiff.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10610749","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10610749","","Visualization;Uncertainty;Accuracy;Predictive models;Diffusion models;Planning;Iterative methods","","2","","34","IEEE","8 Aug 2024","","","IEEE","IEEE Conferences"
"Merging Decision Transformers: Weight Averaging for Forming Multi-Task Policies","D. Lawson; A. H. Qureshi","Department of Computer Science, Purdue University, West Lafayette, IN, USA; Department of Computer Science, Purdue University, West Lafayette, IN, USA",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","12942","12948","Recent work has shown the promise of creating generalist, transformer-based, models for language, vision, and sequential decision-making problems. To create such models, we generally require centralized training objectives, data, and compute. It is of interest if we can more flexibly create generalist policies by merging together multiple, task-specific, individually trained policies. In this work, we take a preliminary step in this direction through merging, or averaging, subsets of Decision Transformers in parameter space trained on different MuJoCo locomotion problems, forming multi-task models without centralized training. We also demonstrate the importance of various methodological choices when merging policies, such as utilizing common pre-trained initializations, increasing model capacity, and utilizing Fisher information for weighting parameter importance. In general, we believe research in this direction could help democratize and distribute the process that forms multi-task robotics policies. Our implementation is available at https://github.com/daniellawson9999/merging-decision-transformer.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10610919","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10610919","","Training;Computational modeling;Merging;Decision making;Transformers;Multitasking;Data models","","","","38","IEEE","8 Aug 2024","","","IEEE","IEEE Conferences"
"MMAUD: A Comprehensive Multi-Modal Anti-UAV Dataset for Modern Miniature Drone Threats","S. Yuan; Y. Yang; T. H. Nguyen; T. -M. Nguyen; J. Yang; F. Liu; J. Li; H. Wang; L. Xie","The School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; The School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; The School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; The School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; The School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; The School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; The School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; The School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; The School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","2745","2751","In response to the evolving challenges posed by small unmanned aerial vehicles (UAVs), which possess the potential to transport harmful payloads or independently cause damage, we introduce MMAUD: a comprehensive Multi-Modal Anti-UAV Dataset. MMAUD addresses a critical gap in contemporary threat detection methodologies by focusing on drone detection, UAV-type classification, and trajectory estimation. MMAUD stands out by combining diverse sensory inputs, including stereo vision, various Lidars, Radars, and audio arrays. It offers a unique overhead aerial detection vital for addressing real-world scenarios with higher fidelity than datasets captured on specific vantage points using thermal and RGB. Additionally, MMAUD provides accurate Leica-generated ground truth data, enhancing credibility and enabling confident refinement of algorithms and models, which has never been seen in other datasets. Most existing works do not disclose their datasets, making MMAUD an invaluable resource for developing accurate and efficient solutions. Our proposed modalities are cost-effective and highly adaptable, allowing users to experiment and implement new UAV threat detection tools. Our dataset closely simulates real-world scenarios by incorporating ambient heavy machinery sounds. This approach enhances the dataset’s applicability, capturing the exact challenges faced during proximate vehicular operations. It is expected that MMAUD can play a pivotal role in advancing UAV threat detection, classification, trajectory estimation capabilities, and beyond. Our dataset, codes, and designs will be available in https://ntu-aris.github.io/MMAUD.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10610957","National Research Foundation; Delta; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10610957","UAV;LIDAR;Audio;video fusion;Detection;Classification;Trajectory Estimation","Accuracy;Laser radar;Estimation;Autonomous aerial vehicles;Robot sensing systems;Threat assessment;Trajectory","","3","","42","IEEE","8 Aug 2024","","","IEEE","IEEE Conferences"
"VOOM: Robust Visual Object Odometry and Mapping using Hierarchical Landmarks","Y. Wang; C. Jiang; X. Chen","School of Mechanical Engineering, Beijing Institute of Technology, China; School of Mechanical Engineering, Beijing Institute of Technology, China; College of Intelligence Science and Technology, National University of Defense Technology, China",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","10298","10304","In recent years, object-oriented simultaneous localization and mapping (SLAM) has attracted increasing attention due to its ability to provide high-level semantic information while maintaining computational efficiency. Some researchers have attempted to enhance localization accuracy by integrating the modeled object residuals into bundle adjustment. However, few have demonstrated better results than feature-based visual SLAM systems, as the generic coarse object models, such as cuboids or ellipsoids, are less accurate than feature points. In this paper, we propose a Visual Object Odometry and Mapping framework VOOM using high-level objects and low-level points as the hierarchical landmarks in a coarse-to-fine manner instead of directly using object residuals in bundle adjustment. Firstly, we introduce an improved observation model and a novel data association method for dual quadrics, employed to represent physical objects. It facilitates the creation of a 3D map that closely reflects reality. Next, we use object information to enhance the data association of feature points and consequently update the map. In the visual object odometry backend, the updated map is employed to further optimize the camera pose and the objects. Meanwhile, local bundle adjustment is performed utilizing the objects and points-based covisibility graphs in our visual object mapping process. Experiments show that VOOM outperforms both object-oriented SLAM and feature points SLAM systems such as ORB-SLAM2 in terms of localization. The implementation of our method is available at https://github.com/yutongwangBIT/VOOM.git.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10611684","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10611684","","Location awareness;Bundle adjustment;Visualization;Simultaneous localization and mapping;Accuracy;Object oriented modeling;Computational modeling","","2","","29","IEEE","8 Aug 2024","","","IEEE","IEEE Conferences"
"AirExo: Low-Cost Exoskeletons for Learning Whole-Arm Manipulation in the Wild","H. Fang; H. -S. Fang; Y. Wang; J. Ren; J. Chen; R. Zhang; W. Wang; C. Lu","School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University; School of Mechanical Engineering, Shanghai Jiao Tong University; School of Mechanical Engineering, Shanghai Jiao Tong University; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University; School of Mechanical Engineering, Shanghai Jiao Tong University; School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","15031","15038","While humans can use parts of their arms other than the hands for manipulations like gathering and supporting, whether robots can effectively learn and perform the same type of operations remains relatively unexplored. As these manipulations require joint-level control to regulate the complete poses of the robots, we develop AirExo, a low-cost, adaptable, and portable dual-arm exoskeleton, for teleoperation and demonstration collection. As collecting teleoperated data is expensive and time-consuming, we further leverage AirExo to collect cheap in-the-wild demonstrations at scale. Under our in-the-wild learning framework, we show that with only 3 minutes of the teleoperated demonstrations, augmented by diverse and extensive in-the-wild data collected by AirExo, robots can learn a policy that is comparable to or even better than one learned from teleoperated demonstrations lasting over 20 minutes. Experiments demonstrate that our approach enables the model to learn a more general and robust policy across the various stages of the task, enhancing the success rates in task completion even with the presence of disturbances. Project website: airexo.github.io.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10610799","Research and Development; Research and Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10610799","","Costs;Atmospheric modeling;Exoskeletons;Manipulators;Robustness;Task analysis;Robots","","2","","48","IEEE","8 Aug 2024","","","IEEE","IEEE Conferences"
"Fault Tolerant Neural Control Barrier Functions for Robotic Systems under Sensor Faults and Attacks","H. Zhang; L. Niu; A. Clark; R. Poovendran","Electrical and Systems Engineering Department, McKelvey School of Engineering, Washington University in St. Louis, St. Louis, MO; Department of Electrical and Computer Engineering, Network Security Lab, University of Washington, Seattle, WA; Electrical and Systems Engineering Department, McKelvey School of Engineering, Washington University in St. Louis, St. Louis, MO; Department of Electrical and Computer Engineering, Network Security Lab, University of Washington, Seattle, WA",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","9901","9907","Safety is a fundamental requirement of many robotic systems. Control barrier function (CBF)-based approaches have been proposed to guarantee the safety of robotic systems. However, the effectiveness of these approaches highly relies on the choice of CBFs. Inspired by the universal approximation power of neural networks, there is a growing trend toward representing CBFs using neural networks, leading to the notion of neural CBFs (NCBFs). Current NCBFs, however, are trained and deployed in benign environments, making them ineffective for scenarios where robotic systems experience sensor faults and attacks. In this paper, we study safety-critical control synthesis for robotic systems under sensor faults and attacks. Our main contribution is the development and synthesis of a new class of CBFs that we term fault tolerant neural control barrier function (FT-NCBF). We derive the necessary and sufficient conditions for FT-NCBFs to guarantee safety, and develop a data-driven method to learn FT-NCBFs by minimizing a loss function constructed using the derived conditions. Using the learned FT-NCBF, we synthesize a control input and formally prove the safety guarantee provided by our approach. We demonstrate our proposed approach using two case studies: obstacle avoidance problem for an autonomous mobile robot and spacecraft rendezvous problem, with code available via https://github.com/HongchaoZhang-HZ/FTNCBF.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10610491","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10610491","","Space vehicles;Sufficient conditions;Fault tolerance;Neural networks;Fault tolerant systems;Robot sensing systems;Safety","","","","42","IEEE","8 Aug 2024","","","IEEE","IEEE Conferences"
"Grasp-Anything: Large-scale Grasp Dataset from Foundation Models","A. D. Vuong; M. N. Vu; H. Le; B. Huang; H. T. T. Binh; T. Vo; A. Kugi; A. Nguyen","FPT Software AI Center, Vietnam; Automation & Control Institute, TU Wien, Vienna, Austria; FPT Software AI Center, Vietnam; Imperial College London, UK; Hanoi University of Science and Technology, Vietnam; Faculty of Mathematics and Statistics, Ton Duc Thang University, Ho Chi Minh City, Vietnam; Automation & Control Institute, TU Wien, Vienna, Austria; Department of Computer Science, University of Liverpool, UK",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","14030","14037","Foundation models such as ChatGPT have made significant strides in robotic tasks due to their universal representation of real-world domains. In this paper, we leverage foundation models to tackle grasp detection, a persistent challenge in robotics with broad industrial applications. Despite numerous grasp datasets, their object diversity remains limited compared to real-world figures. Fortunately, foundation models possess an extensive repository of real-world knowledge, including objects we encounter in our daily lives. As a consequence, a promising solution to the limited representation in previous grasp datasets is to harness the universal knowledge embedded in these foundation models. We present Grasp-Anything, a new large-scale grasp dataset synthesized from foundation models to implement this solution. Grasp-Anything excels in diversity and magnitude, boasting 1M samples with text descriptions and more than 3M objects, surpassing prior datasets. Empirically, we show that Grasp-Anything successfully facilitates zero-shot grasp detection on vision-based tasks and real-world robotic experiments. Our dataset and code are available at https://airvlab.github.io/grasp-anything/.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10611277","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10611277","","Codes;Service robots;Chatbots;Task analysis","","4","","67","IEEE","8 Aug 2024","","","IEEE","IEEE Conferences"
"Physical Priors Augmented Event-Based 3D Reconstruction","J. Wang; J. He; Z. Zhang; R. Xu","MICS Thrust, HKUST(GZ), Guangzhou, China; MICS Thrust, HKUST(GZ), Guangzhou, China; MICS Thrust, HKUST(GZ), Guangzhou, China; MICS Thrust, HKUST(GZ), Guangzhou, China",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","16810","16817","3D neural implicit representations play a significant component in many robotic applications. However, reconstructing neural radiance fields (NeRF) from realistic event data remains a challenge due to the sparsities and the lack of information when only event streams are available. In this paper, we utilize motion, geometry, and density priors behind event data to impose strong physical constraints to augment NeRF training. The proposed novel pipeline can directly benefit from those priors to reconstruct 3D scenes without additional inputs. Moreover, we present a novel density-guided patch-based sampling strategy for robust and efficient learning, which not only accelerates training procedures but also conduces to expressions of local geometries. More importantly, we establish the first large dataset for event-based 3D reconstruction, which contains 101 objects with various materials and geometries, along with the groundtruth of images and depth maps for all camera viewpoints, which significantly facilitates other research in the related fields. The code and dataset will be publicly available at https://github.com/Mercerai/PAEv3d.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10611153","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10611153","","Geometry;Training;Three-dimensional displays;Pipelines;Neural radiance field;Noise measurement;Image reconstruction","","2","","56","IEEE","8 Aug 2024","","","IEEE","IEEE Conferences"
"Rank2Reward: Learning Shaped Reward Functions from Passive Video","D. Yang; D. Tjia; J. Berg; D. Damen; P. Agrawal; A. Gupta","Computer Science and Artificial Intelligence Laboratory, Massachusetts Institute of Technology, Cambridge, MA, USA; Department of Computer Science, University of Washington, Seattle, WA, USA; Department of Computer Science, University of Washington, Seattle, WA, USA; School of Computer Science, University of Bristol, Bristol, UK; Computer Science and Artificial Intelligence Laboratory, Massachusetts Institute of Technology, Cambridge, MA, USA; Department of Computer Science, University of Washington, Seattle, WA, USA",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","2806","2813","Teaching robots novel skills with demonstrations via human-in-the-loop data collection techniques like kinesthetic teaching or teleoperation puts a heavy burden on human supervisors. In contrast to this paradigm, it is often significantly easier to provide raw, action-free visual data of tasks being performed. Moreover, this data can even be mined from video datasets or the web. Ideally, this data can serve to guide robot learning for new tasks in novel environments, informing both ""what"" to do and ""how"" to do it. A powerful way to encode both the ""what"" and the ""how"" is to infer a well-shaped reward function for reinforcement learning. The challenge is determining how to ground visual demonstration inputs into a well-shaped and informative reward function. We propose a technique Rank2Reward for learning behaviors from videos of tasks being performed without access to any low-level states and actions. We do so by leveraging the videos to learn a reward function that measures incremental ""progress"" through a task by learning how to temporally rank the video frames in a demonstration. By inferring an appropriate ranking, the reward function is able to guide reinforcement learning by indicating when task progress is being made. This ranking function can be integrated into an adversarial imitation learning scheme resulting in an algorithm that can learn behaviors without exploiting the learned reward function. We demonstrate the effectiveness of Rank2Reward at learning behaviors from raw video on a number of tabletop manipulation tasks in both simulations and on a real-world robotic arm. We also demonstrate how Rank2Reward can be easily extended to be applicable to web-scale video datasets. Code and videos are available at https://rank2reward.github.io","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10610873","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10610873","","Visualization;Codes;Imitation learning;Education;Reinforcement learning;Data collection;Manipulators","","","","67","IEEE","8 Aug 2024","","","IEEE","IEEE Conferences"
"A Novel, Efficient and Accurate Method for Lidar Camera Calibration","Z. Huang; X. Zhang; A. Garcia; X. Huang","Worcester Polytechnic Institute, Worcester, MA, USA; Worcester Polytechnic Institute, Worcester, MA, USA; Worcester Polytechnic Institute, Worcester, MA, USA; Worcester Polytechnic Institute, Worcester, MA, USA",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","14513","14519","As autonomous systems evolve, the precise calibration of lidar and camera sensors remains a pivotal concern. Among the myriad of available techniques, target-based calibration methods, which employ planar boards with distinct geometry and image patterns, have been a popular choice. These methods simplify the task of extracting corresponding features between the image and lidar point cloud. But many of these approaches also face a significant challenge, which is their sensitivity to lidar resolution and Field of View (FOV), which may degrade the reliability of the calibration results. Therefore, our research introduces a novel calibration method using a uniquely designed acrylic checkerboard which allows the lidar beam to pass through the white grids and reflect back from the black grids. This innovative technique sidesteps the common challenges associated with lidar feature extraction. Our method’s distinct advantage lies in its ability to perform accurate calibrations at close distances, owing to the efficient feature extraction from both lidar and camera sensors. This novel, efficient, and accurate method can provide state-of-the-art results for camera lidar calibration in the field. Please also check our Github repository: https://github.com/WPI-APA-Lab/Acrylic-Board-Lidar-Camera-Calibration","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10611162","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10611162","","Laser radar;Accuracy;Three-dimensional displays;Feature extraction;Cameras;Calibration;Sensors","","1","","32","IEEE","8 Aug 2024","","","IEEE","IEEE Conferences"
"Learning to Catch Reactive Objects with a Behavior Predictor","K. Lu; J. -X. Zhong; B. Yang; B. Wang; A. Markham","Department of Computer Science, University of Oxford, Oxford, UK; Department of Computer Science, University of Oxford, Oxford, UK; Department of Computing, vLAR Group; Department of Aeronautical and Aviation Engineering, Hong Kong Polytechnic University, HKSAR; Department of Computer Science, University of Oxford, Oxford, UK",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","9205","9211","Tracking and catching moving objects is an important ability for robots in a dynamic world. Whilst some objects have highly predictable state evolution e.g., the ballistic trajectory of a tennis ball, reactive targets alter their behavior in response to motion of the manipulator. Reactive applications range from gently capturing living animals such as snakes or fish for biological investigations, to smoothly interacting with and assisting a person. Existing works for dynamic catching usually perform target prediction followed by planning, but seldom account for highly non-linear reactive behaviors. Alternatively, Reinforcement Learning (RL) based methods simply treat the target and its motion as part of the observation of the world-state, but perform poorly due to the weak reward signal. In this work, we blend the approach of an explicit, yet learned, target state predictor with RL. We further show how a tightly coupled predictor which ‘observes’ the state of the robot leads to significantly improved anticipatory action, especially with targets that seek to evade the robot following a simple policy. Experiments show that our method achieves an 86.4% (open plane area) and a 73.8% (room) success rate on evasive objects, outperforming monolithic reinforcement learning and other techniques. We also demonstrate the efficacy of our approach across varied targets and trajectories. All code, data, and additional videos are at this GitHub link: https://kl-research.github.io/dyncatch.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10611106","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10611106","","Target tracking;Sports equipment;Dynamics;Reinforcement learning;Trajectory;Planning;Task analysis","","1","","42","IEEE","8 Aug 2024","","","IEEE","IEEE Conferences"
